學號,姓名,課程代碼,課程名稱,學分,教師,期中考,期末考,平時成績
41151009S,學生1593,01UG004,音樂鑑賞,2,教師38,82,72,77
41005247E,學生280,01UG004,音樂鑑賞,2,教師38,86,38,86
41102034E,學生220,01UG004,音樂鑑賞,2,教師38,74,17,61
41070035H,學生539,01UG004,音樂鑑賞,2,教師38,74,3,39
41000223E,學生117,01UG004,音樂鑑賞,2,教師38,87,88,84
41000122E,學生116,01UG004,音樂鑑賞,2,教師38,99,59,79
41205235E,學生268,01UG004,音樂鑑賞,2,教師38,23,13,81
41284016I,學生878,01UG004,音樂鑑賞,2,教師38,2,8,52
41276131H,學生763,01UG004,音樂鑑賞,2,教師38,21,89,23
41005211E,學生244,01UG004,音樂鑑賞,2,教師38,52,52,25
41175032H,學生719,01UG004,音樂鑑賞,2,教師38,1,1,88
41230145A,學生45,01UG004,音樂鑑賞,2,教師38,87,83,59
41160004T,學生1636,01UG004,音樂鑑賞,2,教師38,29,91,40
41140107S,學生1316,01UG004,音樂鑑賞,2,教師38,37,59,28
41141040S,學生1394,01UG004,音樂鑑賞,2,教師38,1,70,14
41200228E,學生122,01UG004,音樂鑑賞,2,教師38,63,43,44
41007132E,學生360,01UG004,音樂鑑賞,2,教師38,59,7,64
41151142S,學生1626,01UG004,音樂鑑賞,2,教師38,20,46,88
41176229H,學生761,01UG004,音樂鑑賞,2,教師38,32,34,70
41143105S,學生1450,01UG004,音樂鑑賞,2,教師38,75,77,8
41076111H,學生743,01UG004,音樂鑑賞,2,教師38,57,80,87
41030123A,學生23,01UG004,音樂鑑賞,2,教師38,21,35,0
41140229S,學生1338,01UG004,音樂鑑賞,2,教師38,88,49,7
41011042E,學生453,01UG004,音樂鑑賞,2,教師38,48,3,87
41242229S,學生1433,01UG004,音樂鑑賞,2,教師38,90,1,62
41184233I,學生895,01UG004,音樂鑑賞,2,教師38,58,5,10
41043201S,學生1446,01UG004,音樂鑑賞,2,教師38,41,53,80
41130240A,學生40,01UG004,音樂鑑賞,2,教師38,91,3,7
41006144E,學生327,01UG004,音樂鑑賞,2,教師38,59,53,34
41168114T,學生1690,01UG004,音樂鑑賞,2,教師38,79,92,34
41030002A,學生2,01UG004,音樂鑑賞,2,教師38,14,62,32
41190215M,學生1188,01UG004,音樂鑑賞,2,教師38,61,17,4
41073104H,學生647,01UG004,音樂鑑賞,2,教師38,61,89,40
41106025E,學生308,01UG004,音樂鑑賞,2,教師38,46,43,27
41007017E,學生345,01UG004,音樂鑑賞,2,教師38,61,33,6
41168017T,學生1693,01UG004,音樂鑑賞,2,教師38,50,73,72
41021143L,學生1030,01UG004,音樂鑑賞,2,教師38,54,61,71
41241205S,學生1359,01UG006,臺灣小說選讀,2,教師30,51,6,61
41160028T,學生1660,01UG006,臺灣小說選讀,2,教師30,92,20,39
41070128H,學生532,01UG006,臺灣小說選讀,2,教師30,14,72,84
41211010E,學生421,01UG006,臺灣小說選讀,2,教師30,71,38,79
41292231M,學生1250,01UG006,臺灣小說選讀,2,教師30,60,17,81
41140114S,學生1323,01UG006,臺灣小說選讀,2,教師30,20,3,52
41041008S,學生1362,01UG006,臺灣小說選讀,2,教師30,82,88,23
41243037S,學生1482,01UG006,臺灣小說選讀,2,教師30,86,59,25
41123202L,學生1084,01UG006,臺灣小說選讀,2,教師30,74,13,88
41000243E,學生137,01UG006,臺灣小說選讀,2,教師30,74,8,59
41021226L,學生1013,01UG006,臺灣小說選讀,2,教師30,87,89,40
41251201S,學生1585,01UG006,臺灣小說選讀,2,教師30,99,52,28
41284036I,學生898,01UG006,臺灣小說選讀,2,教師30,23,1,14
41101008E,學生149,01UG006,臺灣小說選讀,2,教師30,2,83,44
41043117S,學生1462,01UG006,臺灣小說選讀,2,教師30,21,91,64
41144241S,學生1533,01UG006,臺灣小說選讀,2,教師30,52,59,88
41244233S,學生1525,01UG006,臺灣小說選讀,2,教師30,1,70,70
412H0108I,學生911,01UG006,臺灣小說選讀,2,教師30,87,43,8
41172016H,學生615,01UG006,臺灣小說選讀,2,教師30,29,7,87
41277009H,學生782,01UG006,臺灣小說選讀,2,教師30,37,46,0
41171005H,學生558,01UG006,臺灣小說選讀,2,教師30,1,34,7
41042140S,學生1444,01UG006,臺灣小說選讀,2,教師30,63,77,87
41205213E,學生246,01UG006,臺灣小說選讀,2,教師30,59,80,62
41040128S,學生1337,01UG006,臺灣小說選讀,2,教師30,20,35,10
41007132E,學生360,01UG006,臺灣小說選讀,2,教師30,32,49,80
41213216E,學生473,01UG006,臺灣小說選讀,2,教師30,75,3,7
41068127T,學生1703,01UG006,臺灣小說選讀,2,教師30,57,1,34
41142007S,學生1411,01UG006,臺灣小說選讀,2,教師30,21,5,34
41241115S,學生1369,01UG006,臺灣小說選讀,2,教師30,88,53,32
41271007H,學生560,01UG006,臺灣小說選讀,2,教師30,48,3,4
41013124E,學生481,01UG006,臺灣小說選讀,2,教師30,90,53,40
41073227H,學生670,01UG006,臺灣小說選讀,2,教師30,58,92,27
41168136T,學生1712,01UG006,臺灣小說選讀,2,教師30,41,62,6
41173126H,學生669,01UG006,臺灣小說選讀,2,教師30,91,17,72
41011243E,學生454,01UG006,臺灣小說選讀,2,教師30,59,89,71
41000037E,學生131,01UG006,臺灣小說選讀,2,教師30,79,43,11
41141028S,學生1382,01UG006,臺灣小說選讀,2,教師30,14,33,33
41242105S,學生1409,01UG006,臺灣小說選讀,2,教師30,61,73,32
41113208E,學生465,01UG006,臺灣小說選讀,2,教師30,61,61,47
41270219H,學生523,01UG006,臺灣小說選讀,2,教師30,46,99,22
412H0041I,學生944,01UG006,臺灣小說選讀,2,教師30,61,13,61
41023101L,學生1083,01UG006,臺灣小說選讀,2,教師30,50,94,87
41101235E,學生176,01UG006,臺灣小說選讀,2,教師30,54,47,36
41175035H,學生722,01UG006,臺灣小說選讀,2,教師30,63,14,98
41142209S,學生1413,01UG006,臺灣小說選讀,2,教師30,2,71,43
41260234T,學生1666,01UG006,臺灣小說選讀,2,教師30,100,77,85
41026015L,學生1146,01UG006,臺灣小說選讀,2,教師30,50,86,90
41183145I,學生860,01UG008,旅行文學,2,教師20,51,2,94
41221222L,學生1009,01UG008,旅行文學,2,教師20,92,100,47
41071126H,學生579,01UG008,旅行文學,2,教師20,14,50,14
41020224L,學生971,01UG008,旅行文學,2,教師20,71,6,71
41075039H,學生726,01UG008,旅行文學,2,教師20,60,20,77
41222222L,學生1059,01UG008,旅行文學,2,教師20,20,72,86
41130115A,學生15,01UG008,旅行文學,2,教師20,82,38,61
41151040S,學生1624,01UG008,旅行文學,2,教師20,86,17,39
41200015E,學生109,01UG008,旅行文學,2,教師20,74,3,84
41060208T,學生1640,01UG008,旅行文學,2,教師20,74,88,79
41044001S,學生1493,01UG008,旅行文學,2,教師20,87,59,81
41001224E,學生165,01UG008,旅行文學,2,教師20,99,13,52
41106003E,學生286,01UG008,旅行文學,2,教師20,23,8,23
41126034L,學生1165,01UG008,旅行文學,2,教師20,2,89,25
41070128H,學生532,01UG008,旅行文學,2,教師20,21,52,88
41176205H,學生737,01UG008,旅行文學,2,教師20,52,1,59
41044016S,學生1508,01UG008,旅行文學,2,教師20,1,83,40
41072018H,學生617,01UG008,旅行文學,2,教師20,87,91,28
41070127H,學生531,01UG008,旅行文學,2,教師20,29,59,14
41172033H,學生632,01UG008,旅行文學,2,教師20,37,70,44
41101138E,學生179,01UG008,旅行文學,2,教師20,1,43,64
41243036S,學生1481,01UG008,旅行文學,2,教師20,63,7,88
41002106E,學生192,01UG008,旅行文學,2,教師20,59,46,70
41226102L,學生1133,01UG008,旅行文學,2,教師20,20,34,8
41268030T,學生1706,01UG008,旅行文學,2,教師20,32,77,87
41271213H,學生566,01UG008,旅行文學,2,教師20,75,80,0
41057004O,學生1264,01UG008,旅行文學,2,教師20,57,35,7
41211103E,學生414,01UG008,旅行文學,2,教師20,21,49,87
41120131L,學生978,01UG008,旅行文學,2,教師20,88,3,62
41183144I,學生859,01UG008,旅行文學,2,教師20,48,1,10
41241038S,學生1392,01UG008,旅行文學,2,教師20,90,5,80
41005032E,學生265,01UG008,旅行文學,2,教師20,58,53,7
41123006L,學生1088,01UG008,旅行文學,2,教師20,41,3,34
41222129L,學生1066,01UG008,旅行文學,2,教師20,91,53,34
41243235S,學生1480,01UG008,旅行文學,2,教師20,59,92,32
41040021S,學生1330,01UG008,旅行文學,2,教師20,79,62,4
41175227H,學生714,01UG008,旅行文學,2,教師20,14,17,40
41101232E,學生173,01UG008,旅行文學,2,教師20,61,89,27
41277102H,學生775,01UG008,旅行文學,2,教師20,61,43,6
41242229S,學生1433,01UG008,旅行文學,2,教師20,46,33,72
41171044H,學生597,01UG008,旅行文學,2,教師20,61,73,71
41121112L,學生999,01UG008,旅行文學,2,教師20,50,61,11
41275216H,學生703,01UG008,旅行文學,2,教師20,54,99,33
41290220M,學生1193,01UG008,旅行文學,2,教師20,63,13,32
41084134I,學生896,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,51,20,84
41090007M,學生1180,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,92,72,79
41047221S,學生1557,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,14,38,81
41257224O,學生1284,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,71,17,52
41151142S,學生1626,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,60,3,23
41275022H,學生709,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,20,88,25
41222222L,學生1059,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,82,59,88
41032214A,學生64,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,86,13,59
41109139E,學生409,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,74,8,40
41144218S,學生1510,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,74,89,28
41175028H,學生715,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,87,52,14
41043029S,學生1474,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,99,1,44
41206022E,學生305,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,23,83,64
41270123H,學生527,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,2,91,88
41007137E,學生365,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,21,59,70
41230227A,學生27,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,52,70,8
41222020L,學生1057,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,1,43,87
41083019I,學生834,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,87,7,0
41000223E,學生117,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,29,46,7
41101235E,學生176,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,37,34,87
41130240A,學生40,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,1,77,62
41220113L,學生960,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,63,80,10
411H0021I,學生924,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,59,35,80
41102104E,學生190,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,20,49,7
412H0132I,學生935,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,32,3,34
41030239A,學生39,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,75,1,34
41002205E,學生191,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,57,5,32
41100046E,學生140,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,21,53,4
41101221E,學生162,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,88,3,40
41271004H,學生557,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,48,53,27
41072240H,學生639,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,90,92,6
41090030M,學生1203,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,58,62,72
41030204A,學生4,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,41,17,71
41172104H,學生603,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,91,89,11
41202246E,學生232,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,59,43,33
41168105T,學生1681,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,79,33,32
41130115A,學生15,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,14,73,47
41268019T,學生1695,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,61,61,22
41284036I,學生898,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,61,99,61
41057234O,學生1294,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,46,13,87
41072114H,學生613,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,61,94,36
41026223L,學生1154,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,50,47,98
41047122S,學生1558,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,54,14,43
41160126T,學生1658,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,63,71,85
41083133I,學生848,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,2,77,90
41142217S,學生1421,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,100,86,34
41277106H,學生779,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,50,61,64
41023211L,學生1093,01UG011,亞裔美國文學與電影的藝術形式,2,教師17,6,39,98
41122033L,學生1070,01UG012,舞蹈鑑賞,3,教師40,51,38,23
41207015E,學生343,01UG012,舞蹈鑑賞,3,教師40,92,17,25
41073021H,學生664,01UG012,舞蹈鑑賞,3,教師40,14,3,88
41277211H,學生784,01UG012,舞蹈鑑賞,3,教師40,71,88,59
41121044L,學生1031,01UG012,舞蹈鑑賞,3,教師40,60,59,40
41268142T,學生1718,01UG012,舞蹈鑑賞,3,教師40,20,13,28
41047028S,學生1564,01UG012,舞蹈鑑賞,3,教師40,82,8,14
41111039E,學生450,01UG012,舞蹈鑑賞,3,教師40,86,89,44
41160218T,學生1650,01UG012,舞蹈鑑賞,3,教師40,74,52,64
41075140H,學生727,01UG012,舞蹈鑑賞,3,教師40,74,1,88
41105024E,學生257,01UG012,舞蹈鑑賞,3,教師40,87,83,70
41272112H,學生611,01UG012,舞蹈鑑賞,3,教師40,99,91,8
41126214L,學生1145,01UG012,舞蹈鑑賞,3,教師40,23,59,87
412H0002I,學生905,01UG012,舞蹈鑑賞,3,教師40,2,70,0
41120227L,學生974,01UG012,舞蹈鑑賞,3,教師40,21,43,7
41220215L,學生962,01UG012,舞蹈鑑賞,3,教師40,52,7,87
41032021A,學生71,01UG012,舞蹈鑑賞,3,教師40,1,46,62
41121242L,學生1029,01UG012,舞蹈鑑賞,3,教師40,87,34,10
41273113H,學生656,01UG012,舞蹈鑑賞,3,教師40,29,77,80
41111014E,學生425,01UG012,舞蹈鑑賞,3,教師40,37,80,7
41275006H,學生693,01UG012,舞蹈鑑賞,3,教師40,1,35,34
41240202S,學生1311,01UG012,舞蹈鑑賞,3,教師40,63,49,34
41102104E,學生190,01UG012,舞蹈鑑賞,3,教師40,59,3,32
41042140S,學生1444,01UG012,舞蹈鑑賞,3,教師40,20,1,4
41243225S,學生1470,01UG012,舞蹈鑑賞,3,教師40,32,5,40
41221128L,學生1015,01UG012,舞蹈鑑賞,3,教師40,75,53,27
41075115H,學生702,01UG012,舞蹈鑑賞,3,教師40,57,3,6
41102144E,學生230,01UG012,舞蹈鑑賞,3,教師40,21,53,72
41030235A,學生35,01UG012,舞蹈鑑賞,3,教師40,88,92,71
41070127H,學生531,01UG012,舞蹈鑑賞,3,教師40,48,62,11
41206234E,學生317,01UG012,舞蹈鑑賞,3,教師40,90,17,33
41290210M,學生1183,01UG012,舞蹈鑑賞,3,教師40,58,89,32
41047212S,學生1548,01UG012,舞蹈鑑賞,3,教師40,41,43,47
41121250L,學生1037,01UG012,舞蹈鑑賞,3,教師40,91,33,22
41077020H,學生793,01UG012,舞蹈鑑賞,3,教師40,59,73,61
41211129E,學生440,01UG012,舞蹈鑑賞,3,教師40,79,61,87
41276119H,學生751,01UG012,舞蹈鑑賞,3,教師40,14,99,36
41172143H,學生642,01UG012,舞蹈鑑賞,3,教師40,61,13,98
41000213E,學生107,01UG012,舞蹈鑑賞,3,教師40,61,94,43
41160028T,學生1660,01UG012,舞蹈鑑賞,3,教師40,46,47,85
41083139I,學生854,01UG012,舞蹈鑑賞,3,教師40,61,14,90
41290243M,學生1216,01UG012,舞蹈鑑賞,3,教師40,50,71,34
41177141H,學生814,01UG012,舞蹈鑑賞,3,教師40,54,77,64
41042022S,學生1426,01UG012,舞蹈鑑賞,3,教師40,63,86,98
41275220H,學生707,01UG012,舞蹈鑑賞,3,教師40,2,61,100
41060014T,學生1646,01UG012,舞蹈鑑賞,3,教師40,100,39,46
41051026S,學生1610,01UG012,舞蹈鑑賞,3,教師40,50,84,77
41070047H,學生551,01UG012,舞蹈鑑賞,3,教師40,6,79,2
41040031S,學生1340,01UG012,舞蹈鑑賞,3,教師40,20,81,0
41173207H,學生650,01UG012,舞蹈鑑賞,3,教師40,72,52,4
41020224L,學生971,01UG016,戲劇鑑賞,2,教師34,51,61,17
41006231E,學生314,01UG016,戲劇鑑賞,2,教師34,92,50,89
41213135E,學生492,01UG016,戲劇鑑賞,2,教師34,14,54,43
41292231M,學生1250,01UG016,戲劇鑑賞,2,教師34,71,63,33
41207113E,學生341,01UG016,戲劇鑑賞,2,教師34,60,2,73
41084208I,學生870,01UG016,戲劇鑑賞,2,教師34,20,100,61
41271121H,學生574,01UG016,戲劇鑑賞,2,教師34,82,50,99
41140010S,學生1319,01UG016,戲劇鑑賞,2,教師34,86,6,13
41023101L,學生1083,01UG016,戲劇鑑賞,2,教師34,74,20,94
41123128L,學生1110,01UG016,戲劇鑑賞,2,教師34,74,72,47
41277117H,學生790,01UG016,戲劇鑑賞,2,教師34,87,38,14
41075142H,學生729,01UG016,戲劇鑑賞,2,教師34,99,17,71
41284038I,學生900,01UG016,戲劇鑑賞,2,教師34,23,3,77
41106237E,學生320,01UG016,戲劇鑑賞,2,教師34,2,88,86
41232230A,學生80,01UG016,戲劇鑑賞,2,教師34,21,59,61
41032032A,學生82,01UG016,戲劇鑑賞,2,教師34,52,13,39
41173041H,學生684,01UG016,戲劇鑑賞,2,教師34,1,8,84
41257222O,學生1282,01UG016,戲劇鑑賞,2,教師34,87,89,79
41170244H,學生548,01UG016,戲劇鑑賞,2,教師34,29,52,81
41090039M,學生1212,01UG016,戲劇鑑賞,2,教師34,37,1,52
41071229H,學生582,01UG016,戲劇鑑賞,2,教師34,1,83,23
41168034T,學生1710,01UG016,戲劇鑑賞,2,教師34,63,91,25
41205209E,學生242,01UG016,戲劇鑑賞,2,教師34,59,59,88
41170036H,學生540,01UG016,戲劇鑑賞,2,教師34,20,70,59
41032136A,學生86,01UG016,戲劇鑑賞,2,教師34,32,43,40
41113118E,學生475,01UG016,戲劇鑑賞,2,教師34,75,7,28
41023118L,學生1100,01UG016,戲劇鑑賞,2,教師34,57,46,14
41190017M,學生1190,01UG016,戲劇鑑賞,2,教師34,21,34,44
41075023H,學生710,01UG016,戲劇鑑賞,2,教師34,88,77,64
41242234S,學生1438,01UG016,戲劇鑑賞,2,教師34,48,80,88
41121225L,學生1012,01UG016,戲劇鑑賞,2,教師34,90,35,70
41221233L,學生1020,01UG016,戲劇鑑賞,2,教師34,58,49,8
41122007L,學生1044,01UG016,戲劇鑑賞,2,教師34,41,3,87
41277105H,學生778,01UG016,戲劇鑑賞,2,教師34,91,1,0
41209127E,學生397,01UG016,戲劇鑑賞,2,教師34,59,5,7
41268216T,學生1692,01UG016,戲劇鑑賞,2,教師34,79,53,87
41260234T,學生1666,01UG016,戲劇鑑賞,2,教師34,14,3,62
41184032I,學生894,01UG016,戲劇鑑賞,2,教師34,61,53,10
41247214S,學生1550,01UG016,戲劇鑑賞,2,教師34,61,92,80
41011132E,學生443,01UG016,戲劇鑑賞,2,教師34,46,62,7
41072225H,學生624,01UG018,民間文學與說唱藝術,2,教師3,51,61,17
41090145M,學生1218,01UG018,民間文學與說唱藝術,2,教師3,92,50,89
41030002A,學生2,01UG018,民間文學與說唱藝術,2,教師3,14,54,43
41243242S,學生1487,01UG018,民間文學與說唱藝術,2,教師3,71,63,33
41075115H,學生702,01UG018,民間文學與說唱藝術,2,教師3,60,2,73
41209120E,學生390,01UG018,民間文學與說唱藝術,2,教師3,20,100,61
41257244O,學生1304,01UG018,民間文學與說唱藝術,2,教師3,82,50,99
41292004M,學生1223,01UG018,民間文學與說唱藝術,2,教師3,86,6,13
41006021E,學生304,01UG018,民間文學與說唱藝術,2,教師3,74,20,94
41092001M,學生1220,01UG018,民間文學與說唱藝術,2,教師3,74,72,47
41009115E,學生385,01UG018,民間文學與說唱藝術,2,教師3,87,38,14
41170230H,學生534,01UG018,民間文學與說唱藝術,2,教師3,99,17,71
41251201S,學生1585,01UG018,民間文學與說唱藝術,2,教師3,23,3,77
41190214M,學生1187,01UG018,民間文學與說唱藝術,2,教師3,2,88,86
41121116L,學生1003,01UG018,民間文學與說唱藝術,2,教師3,21,59,61
41001017E,學生158,01UG018,民間文學與說唱藝術,2,教師3,52,13,39
41201039E,學生180,01UG018,民間文學與說唱藝術,2,教師3,1,8,84
41123219L,學生1101,01UG018,民間文學與說唱藝術,2,教師3,87,89,79
41223205L,學生1087,01UG018,民間文學與說唱藝術,2,教師3,29,52,81
41243031S,學生1476,01UG018,民間文學與說唱藝術,2,教師3,37,1,52
41073144H,學生687,01UG018,民間文學與說唱藝術,2,教師3,1,83,23
41172007H,學生606,01UG018,民間文學與說唱藝術,2,教師3,63,91,25
41242241S,學生1445,01UG018,民間文學與說唱藝術,2,教師3,59,59,88
41000102E,學生96,01UG018,民間文學與說唱藝術,2,教師3,20,70,59
411H0140I,學生943,01UG018,民間文學與說唱藝術,2,教師3,32,43,40
41275022H,學生709,01UG018,民間文學與說唱藝術,2,教師3,75,7,28
41077134H,學生807,01UG018,民間文學與說唱藝術,2,教師3,57,46,14
41222005L,學生1042,01UG018,民間文學與說唱藝術,2,教師3,21,34,44
41068127T,學生1703,01UG018,民間文學與說唱藝術,2,教師3,88,77,64
41230007A,學生7,01UG018,民間文學與說唱藝術,2,教師3,48,80,88
41076037H,學生769,01UG018,民間文學與說唱藝術,2,教師3,90,35,70
41173116H,學生659,01UG018,民間文學與說唱藝術,2,教師3,58,49,8
41076123H,學生755,01UG018,民間文學與說唱藝術,2,教師3,41,3,87
41268022T,學生1698,01UG018,民間文學與說唱藝術,2,教師3,91,1,0
41072001H,學生600,01UG018,民間文學與說唱藝術,2,教師3,59,5,7
41107230E,學生358,01UG018,民間文學與說唱藝術,2,教師3,79,53,87
41257013O,學生1273,01UG018,民間文學與說唱藝術,2,教師3,14,3,62
41172130H,學生629,01UG018,民間文學與說唱藝術,2,教師3,61,53,10
41220128L,學生975,01UG018,民間文學與說唱藝術,2,教師3,61,92,80
41257023O,學生1283,01UG018,民間文學與說唱藝術,2,教師3,46,62,7
41276225H,學生757,01UG021,文學與電影,3,教師1,51,50,77
41076234H,學生766,01UG021,文學與電影,3,教師1,92,6,86
41171044H,學生597,01UG021,文學與電影,3,教師1,14,20,61
41032037A,學生87,01UG021,文學與電影,3,教師1,71,72,39
41190116M,學生1189,01UG021,文學與電影,3,教師1,60,38,84
410H0020I,學生923,01UG021,文學與電影,3,教師1,20,17,79
41121115L,學生1002,01UG021,文學與電影,3,教師1,82,3,81
41101130E,學生171,01UG021,文學與電影,3,教師1,86,88,52
41241038S,學生1392,01UG021,文學與電影,3,教師1,74,59,23
41121105L,學生992,01UG021,文學與電影,3,教師1,74,13,25
41068247T,學生1723,01UG021,文學與電影,3,教師1,87,8,88
41068202T,學生1678,01UG021,文學與電影,3,教師1,99,89,59
41047129S,學生1565,01UG021,文學與電影,3,教師1,23,52,40
41123214L,學生1096,01UG021,文學與電影,3,教師1,2,1,28
41009014E,學生384,01UG021,文學與電影,3,教師1,21,83,14
41026135L,學生1166,01UG021,文學與電影,3,教師1,52,91,44
41090238M,學生1211,01UG021,文學與電影,3,教師1,1,59,64
41251215S,學生1599,01UG021,文學與電影,3,教師1,87,70,88
41011044E,學生455,01UG021,文學與電影,3,教師1,29,43,70
41076037H,學生769,01UG021,文學與電影,3,教師1,37,7,8
41113208E,學生465,01UG021,文學與電影,3,教師1,1,46,87
41168034T,學生1710,01UG021,文學與電影,3,教師1,63,34,0
41142018S,學生1422,01UG021,文學與電影,3,教師1,59,77,7
41102042E,學生228,01UG021,文學與電影,3,教師1,20,80,87
41283035I,學生850,01UG021,文學與電影,3,教師1,32,35,62
41113147E,學生504,01UG021,文學與電影,3,教師1,75,49,10
41184030I,學生892,01UG021,文學與電影,3,教師1,57,3,80
41090022M,學生1195,01UG021,文學與電影,3,教師1,21,1,7
41140133S,學生1342,01UG021,文學與電影,3,教師1,88,5,34
41122239L,學生1076,01UG021,文學與電影,3,教師1,48,53,34
41041135S,學生1389,01UG021,文學與電影,3,教師1,90,3,32
41040030S,學生1339,01UG021,文學與電影,3,教師1,58,53,4
41001224E,學生165,01UG021,文學與電影,3,教師1,41,92,40
41176222H,學生754,01UG021,文學與電影,3,教師1,91,62,27
41192109M,學生1228,01UG021,文學與電影,3,教師1,59,17,6
41001043E,學生184,01UG021,文學與電影,3,教師1,79,89,72
41276221H,學生753,01UG021,文學與電影,3,教師1,14,43,71
41276131H,學生763,01UG021,文學與電影,3,教師1,61,33,11
41243102S,學生1447,01UG021,文學與電影,3,教師1,61,73,33
41044220S,學生1512,01UG021,文學與電影,3,教師1,46,61,32
41001218E,學生159,01UG021,文學與電影,3,教師1,61,99,47
41090119M,學生1192,01UG021,文學與電影,3,教師1,50,13,22
41102104E,學生190,01UG021,文學與電影,3,教師1,54,94,61
41257036O,學生1296,01UG021,文學與電影,3,教師1,63,47,87
41275220H,學生707,01UG021,文學與電影,3,教師1,2,14,36
41207223E,學生351,01UG021,文學與電影,3,教師1,100,71,98
41270003H,學生507,01UG027,日本美術鑑賞,2,教師39,51,50,43
41271137H,學生590,01UG027,日本美術鑑賞,2,教師39,92,54,33
41273135H,學生678,01UG027,日本美術鑑賞,2,教師39,14,63,73
41211108E,學生419,01UG027,日本美術鑑賞,2,教師39,71,2,61
41157005O,學生1265,01UG027,日本美術鑑賞,2,教師39,60,100,99
41001043E,學生184,01UG027,日本美術鑑賞,2,教師39,20,50,13
41192041M,學生1260,01UG027,日本美術鑑賞,2,教師39,82,6,94
41241216S,學生1370,01UG027,日本美術鑑賞,2,教師39,86,20,47
41041043S,學生1397,01UG027,日本美術鑑賞,2,教師39,74,72,14
41009236E,學生406,01UG027,日本美術鑑賞,2,教師39,74,38,71
41183222I,學生837,01UG027,日本美術鑑賞,2,教師39,87,17,77
41126112L,學生1143,01UG027,日本美術鑑賞,2,教師39,99,3,86
41242139S,學生1443,01UG027,日本美術鑑賞,2,教師39,23,88,61
41171112H,學生565,01UG027,日本美術鑑賞,2,教師39,2,59,39
41032217A,學生67,01UG027,日本美術鑑賞,2,教師39,21,13,84
41209038E,學生408,01UG027,日本美術鑑賞,2,教師39,52,8,79
41141050S,學生1404,01UG027,日本美術鑑賞,2,教師39,1,89,81
41211037E,學生448,01UG027,日本美術鑑賞,2,教師39,87,52,52
41170134H,學生538,01UG027,日本美術鑑賞,2,教師39,29,1,23
41175202H,學生689,01UG027,日本美術鑑賞,2,教師39,37,83,25
41184204I,學生866,01UG027,日本美術鑑賞,2,教師39,1,91,88
41283101I,學生816,01UG027,日本美術鑑賞,2,教師39,63,59,59
41205119E,學生252,01UG027,日本美術鑑賞,2,教師39,59,70,40
41151048S,學生1632,01UG027,日本美術鑑賞,2,教師39,20,43,28
41271230H,學生583,01UG027,日本美術鑑賞,2,教師39,32,7,14
41073022H,學生665,01UG027,日本美術鑑賞,2,教師39,75,46,44
41201129E,學生170,01UG027,日本美術鑑賞,2,教師39,57,34,64
411H0105I,學生908,01UG027,日本美術鑑賞,2,教師39,21,77,88
